Sid,Symbol,Exchange,Country,Currency,SecType,Etf,Timezone,Name,PriceMagnifier,Multiplier,Delisted,DateDelisted,LastTradeDate,RolloverDate
FIBBG000B9XRY4,AAPL,XNAS,US,USD,STK,0,America/New_York,"APPLE INC",1,1,0,,,
FIBBG000BBWDG1,BAYN,XETR,DE,EUR,STK,0,Europe/Berlin,"BAYER AG-REG",1,1,0,,,
FIBBG000BBZM32,7751.T,XTKS,JP,JPY,STK,0,Japan,"CANON INC",1,1,0,,,
FIBBG000BC9821,OR,XPAR,FR,EUR,STK,0,Europe/Paris,"L'OREAL",1,1,0,,,
FIBBG000BCJG31,RY,XTSE,CA,CAD,STK,0,America/Toronto,"ROYAL BANK OF CANADA",1,1,0,,,
FIBBG000BCLVP1,RO,XSWX,CH,CHF,STK,0,Europe/Zurich,"ROCHE HOLDING AG-BR",1,1,0,,,
FIBBG000BCM915,7203.T,XTKS,JP,JPY,STK,0,Japan,"TOYOTA MOTOR CORP",1,1,0,,,
FIBBG000BDTBL9,SPY,ARCX,US,USD,STK,1,America/New_York,"SPDR S&P 500 ETF TRUST",1,1,0,,,
FIBBG000BF46K3,TSCO,XLON,GB,GBP,STK,0,Europe/London,"TESCO PLC",100,1,0,,,
FIBBG000BFWKC0,MON,XNYS,US,USD,STK,0,America/New_York,"MONSANTO CO",1,1,1,2018-06-06,,
FIBBG000BJ35F4,700,XHKG,HK,HKD,STK,0,Hongkong,"TENCENT HOLDINGS LTD",1,1,0,,,
FIBBG000BKZB36,HD,XNYS,US,USD,STK,0,America/New_York,"HOME DEPOT INC",1,1,0,,,
FIBBG000BMHYD1,JNJ,XNYS,US,USD,STK,0,America/New_York,"JOHNSON & JOHNSON",1,1,0,,,
FIBBG000BPH459,MSFT,XNAS,US,USD,STK,0,America/New_York,"MICROSOFT CORP",1,1,0,,,
FIBBG000BX2SH2,"ERIC B",XSTO,SE,SEK,STK,0,Europe/Stockholm,"ERICSSON LM-B SHS",1,1,0,,,
FIBBG000C059M6,BP.,XLON,GB,GBP,STK,0,Europe/London,"BP PLC",100,1,0,,,
FIBBG000C1M473,TTE,XPAR,FR,EUR,STK,0,Europe/Paris,"TOTALENERGIES SE",1,1,0,,,
FIBBG000C26F38,6758.T,XTKS,JP,JPY,STK,0,Japan,"SONY GROUP CORP",1,1,0,,,
FIBBG000CK38G3,KKD,XNYS,US,USD,STK,0,America/New_York,"KRISPY KREME DOUGHNUTS INC",1,1,1,2016-07-27,,
FIBBG000CT9HP8,INFY,XNSE,IN,INR,STK,0,Asia/Calcutta,"INFOSYS LTD",1,1,0,,,
FIBBG000D0D358,BHP,XASX,AU,AUD,STK,0,Australia/Sydney,"BHP GROUP LTD",1,1,0,,,
FIBBG000D814D3,601628,XSSC,CN,CNH,STK,0,Asia/Shanghai,"CHINA LIFE INSURANCE CO-A",1,1,0,,,
FIBBG000DM2M32,ABBN,XSWX,CH,CHF,STK,0,Europe/Zurich,"ABB LTD-REG",1,1,0,,,
FIBBG000FBCLZ0,EXPN,XLON,GB,GBP,STK,0,Europe/London,"EXPERIAN PLC",100,1,0,,,
FIBBG000FR1Q22,ADS,XETR,DE,EUR,STK,0,Europe/Berlin,"ADIDAS AG",1,1,0,,,
FIBBG000GC4YL3,000063,XSEC,CN,CNH,STK,0,Asia/Shanghai,"ZTE CORP-A",1,1,0,,,
FIBBG000GNW0M1,601857,XSSC,CN,CNH,STK,0,Asia/Shanghai,"PETROCHINA CO LTD-A",1,1,0,,,
FIBBG000GZQ728,XOM,XNYS,US,USD,STK,0,America/New_York,"EXXON MOBIL CORP",1,1,0,,,
FIBBG000Q0WCK6,TCS,XNSE,IN,INR,STK,0,Asia/Calcutta,"TATA CONSULTANCY SVCS LTD",1,1,0,,,
FIBBG00B3T3HD3,AA,XNYS,US,USD,STK,0,America/New_York,"ALCOA CORP",1,1,0,,,
FXEURUSD,EUR.USD,IDEALPRO,,USD,CASH,0,America/New_York,"European Monetary Union Euro",1,1,0,,,
